| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
| iLQR | PD그대로 | 60_1.5_60_1.5 | 1.388 | 0.658 | 74.4% | 67.5% | 89.7% |
| iLQR | PD그대로 | 90_1.5_90_2.5 | 1.388 | 0.750 | 69.6% | 65.5% | 79.8% |
| iLQR | 성형 | 120_2.2_150_2.5 | 1.388 | 1.387 | 35.0% | 36.3% | 30.2% |
| iLQR | 성형 | 120_2.2_200_2.8 | 1.388 | 1.387 | 34.2% | 36.1% | 27.1% |
| iLQR | 성형 | 120_2_120_2 | 1.388 | 1.387 | 36.1% | 37.2% | 32.5% |
| iLQR | 성형 | 150_2.2_250_3 | 1.388 | 1.385 | 31.6% | 33.4% | 24.6% |
| iLQR | 성형 | 150_2.2_350_3.5 | 1.388 | 1.388 | 32.5% | 33.6% | 28.5% |
| iLQR | 성형 | 150_2.2_500_4 | 1.388 | 1.387 | 35.4% | 33.6% | 40.9% |
| iLQR | 성형 | 60_1.5_60_1.5 | 1.388 | 1.387 | 45.1% | 46.0% | 42.0% |
| iLQR | 성형 | 90_1.5_90_2.5 | 1.388 | 1.384 | 42.3% | 42.8% | 40.6% |
| NLP | FF+PD | 120_2.2_150_2.5 | 1.070 | 1.168 | 24.3% | 8.8% | 29.5% |
| NLP | FF+PD | 120_2.2_200_2.8 | 1.070 | 1.205 | 30.0% | 9.8% | 36.6% |
| NLP | FF+PD | 120_2_120_2 | 1.070 | 1.140 | 20.2% | 8.5% | 24.4% |
| NLP | FF+PD | 150_2.2_250_3 | 1.070 | 1.227 | 31.9% | 11.6% | 38.7% |
| NLP | FF+PD | 150_2.2_350_3.5 | 1.070 | 1.241 | 37.9% | 15.4% | 45.7% |
| NLP | FF+PD | 150_2.2_500_4 | 1.070 | 1.250 | 41.8% | 19.2% | 50.1% |
| NLP | FF+PD | 60_1.5_60_1.5 | 1.070 | 1.082 | 11.4% | 4.8% | 13.8% |
| NLP | FF+PD | 90_1.5_90_2.5 | 1.070 | 1.121 | 17.4% | 6.9% | 21.0% |
| NLP | PD그대로 | 120_2.2_150_2.5 | 1.070 | 1.176 | 97.0% | 94.6% | 98.3% |
| NLP | PD그대로 | 120_2.2_200_2.8 | 1.070 | 1.264 | 91.5% | 90.1% | 92.3% |
| NLP | PD그대로 | 120_2_120_2 | 1.070 | 1.040 | 97.8% | 82.7% | 105.0% |
| NLP | PD그대로 | 150_2.2_250_3 | 1.070 | 1.295 | 87.2% | 86.0% | 87.9% |
| NLP | PD그대로 | 150_2.2_350_3.5 | 1.070 | 1.327 | 79.2% | 75.5% | 81.1% |
| NLP | PD그대로 | 150_2.2_500_4 | 1.070 | 1.338 | 72.2% | 66.8% | 74.9% |
| NLP | PD그대로 | 60_1.5_60_1.5 | 1.070 | 0.959 | 98.8% | 73.8% | 109.8% |
| NLP | PD그대로 | 90_1.5_90_2.5 | 1.070 | 1.027 | 97.0% | 86.5% | 102.1% |
| NLP | 성형 | 120_2.2_150_2.5 | 1.070 | 1.125 | 15.5% | 10.0% | 17.7% |
| NLP | 성형 | 120_2.2_200_2.8 | 1.070 | 1.153 | 19.5% | 9.8% | 23.1% |
| NLP | 성형 | 120_2_120_2 | 1.070 | 1.110 | 95.4% | 74.5% | 120.2% |
| NLP | 성형 | 150_2.2_250_3 | 1.070 | 1.185 | 24.2% | 10.4% | 29.0% |
| NLP | 성형 | 150_2.2_350_3.5 | 1.070 | 1.220 | 30.9% | 12.7% | 37.3% |
| NLP | 성형 | 150_2.2_500_4 | 1.070 | 1.241 | 35.9% | 15.9% | 43.1% |
| NLP | 성형 | 60_1.5_60_1.5 | 1.070 | 1.079 | 118.2% | 73.6% | 164.6% |
| NLP | 성형 | 90_1.5_90_2.5 | 1.070 | 1.097 | 11.5% | 9.5% | 12.4% |
| PPO | FF+PD | 120_2.2_150_2.5 | 1.230 | 1.231 | 4.8% | 5.1% | 4.6% |
| PPO | FF+PD | 120_2.2_200_2.8 | 1.230 | 1.233 | 4.8% | 5.0% | 4.5% |
| PPO | FF+PD | 120_2_120_2 | 1.230 | 1.230 | 4.9% | 5.1% | 4.6% |
| PPO | FF+PD | 150_2.2_250_3 | 1.230 | 1.233 | 4.8% | 5.2% | 4.5% |
| PPO | FF+PD | 150_2.2_350_3.5 | 1.230 | 1.237 | 4.7% | 5.1% | 4.4% |
| PPO | FF+PD | 150_2.2_500_4 | 1.230 | 1.237 | 4.6% | 5.0% | 4.3% |
| PPO | FF+PD | 60_1.5_60_1.5 | 1.230 | 1.233 | 4.9% | 5.0% | 4.9% |
| PPO | FF+PD | 90_1.5_90_2.5 | 1.230 | 1.229 | 4.6% | 4.7% | 4.5% |
| PPO | PD그대로 | 120_2.2_150_2.5 | 1.230 | 1.157 | 84.7% | 85.5% | 83.9% |
| PPO | PD그대로 | 120_2.2_200_2.8 | 1.230 | 1.177 | 84.0% | 84.5% | 83.5% |
| PPO | PD그대로 | 120_2_120_2 | 1.230 | 1.141 | 87.5% | 88.6% | 86.6% |
| PPO | PD그대로 | 150_2.2_250_3 | 1.230 | 1.209 | 82.2% | 83.8% | 80.8% |
| PPO | PD그대로 | 150_2.2_350_3.5 | 1.230 | 1.212 | 80.1% | 82.6% | 77.7% |
